Team,WIN%
CLE,80.5
LAL,79.3
BOS,75.6
ORL,72.0
DEN,65.9
POR,65.9
SAS,65.9
HOU,64.60000000000001
DAL,61.0
NOP,59.8
UTA,58.5
ATL,57.3
PHX,56.10000000000001
MIA,52.400000000000006
CHI,50.0
PHI,50.0
DET,47.6
IND,43.9
CHH,42.7
MIL,41.5
BKN,41.5
TOR,40.2
NYK,39.0
GSW,35.4
MEM,29.3
MIN,29.3
OKC,28.000000000000004
LAC,23.200000000000003
WAS,23.200000000000003
SAC,20.7
BOS,80.5
DET,72.0
LAL,69.5
NOP,68.30000000000001
SAS,68.30000000000001
HOU,67.10000000000001
PHX,67.10000000000001
UTA,65.9
ORL,63.4
DAL,62.2
DEN,61.0
GSW,58.5
CLE,54.900000000000006
WAS,52.400000000000006
POR,50.0
TOR,50.0
PHI,48.8
SAC,46.3
ATL,45.1
IND,43.9
BKN,41.5
CHI,40.2
CHH,39.0
MIL,31.7
LAC,28.000000000000004
NYK,28.000000000000004
MEM,26.8
MIN,26.8
OKC,24.4
MIA,18.3
DAL,81.69999999999999
PHX,74.4
SAS,70.7
DET,64.60000000000001
HOU,63.4
UTA,62.2
CLE,61.0
CHI,59.8
TOR,57.3
DEN,54.900000000000006
MIA,53.7
GSW,51.2
LAL,51.2
BKN,50.0
WAS,50.0
LAC,48.8
ORL,48.8
New Orleans/Oklahoma City Hornets,47.6
IND,42.7
PHI,42.7
CHH,40.2
NYK,40.2
SAC,40.2
MIN,39.0
POR,39.0
OKC,37.8
ATL,36.6
MIL,34.1
BOS,29.3
MEM,26.8
DET,78.0
SAS,76.8
DAL,73.2
PHX,65.9
MIA,63.4
CLE,61.0
MEM,59.8
BKN,59.8
LAC,57.3
LAL,54.900000000000006
DEN,53.7
SAC,53.7
WAS,51.2
CHI,50.0
IND,50.0
UTA,50.0
MIL,48.8
New Orleans/Oklahoma City Hornets,46.3
PHI,46.3
ORL,43.9
OKC,42.7
GSW,41.5
HOU,41.5
BOS,40.2
MIN,40.2
TOR,32.9
ATL,31.7
CHH,31.7
NYK,28.000000000000004
POR,25.6
PHX,75.6
MIA,72.0
SAS,72.0
DAL,70.7
DET,65.9
OKC,63.4
HOU,62.2
SAC,61.0
DEN,59.8
CHI,57.3
BOS,54.900000000000006
MEM,54.900000000000006
WAS,54.900000000000006
IND,53.7
MIN,53.7
PHI,52.400000000000006
CLE,51.2
BKN,51.2
LAC,45.1
ORL,43.9
GSW,41.5
LAL,41.5
NYK,40.2
TOR,40.2
MIL,36.6
POR,32.9
UTA,31.7
CHH,22.0
NOP,22.0
ATL,15.9
IND,74.4
MIN,70.7
SAS,69.5
LAL,68.30000000000001
SAC,67.10000000000001
DET,65.9
DAL,63.4
MEM,61.0
BKN,57.3
HOU,54.900000000000006
DEN,52.400000000000006
MIA,51.2
UTA,51.2
MIL,50.0
NOP,50.0
POR,50.0
NYK,47.6
GSW,45.1
OKC,45.1
BOS,43.9
CLE,42.7
PHI,40.2
TOR,40.2
PHX,35.4
ATL,34.1
LAC,34.1
WAS,30.5
CHI,28.000000000000004
ORL,25.6
DAL,73.2
SAS,73.2
SAC,72.0
MIN,62.2
DET,61.0
LAL,61.0
POR,61.0
BKN,59.8
IND,58.5
PHI,58.5
NOP,57.3
UTA,57.3
BOS,53.7
PHX,53.7
HOU,52.400000000000006
MIL,51.2
ORL,51.2
OKC,48.8
GSW,46.3
NYK,45.1
WAS,45.1
ATL,42.7
CHI,36.6
MEM,34.1
LAC,32.9
MIA,30.5
TOR,29.3
CLE,20.7
DEN,20.7
SAC,74.4
LAL,70.7
SAS,70.7
DAL,69.5
BKN,63.4
DET,61.0
MIN,61.0
BOS,59.8
POR,59.8
OKC,54.900000000000006
CHH,53.7
ORL,53.7
UTA,53.7
PHI,52.400000000000006
IND,51.2
TOR,51.2
MIL,50.0
LAC,47.6
WAS,45.1
MIA,43.9
PHX,43.9
ATL,40.2
NYK,36.6
CLE,35.4
HOU,34.1
DEN,32.9
MEM,28.000000000000004
CHI,25.6
GSW,25.6
SAS,70.7
LAL,68.30000000000001
PHI,68.30000000000001
SAC,67.10000000000001
DAL,64.60000000000001
UTA,64.60000000000001
MIL,63.4
PHX,62.2
MIA,61.0
POR,61.0
NYK,58.5
MIN,57.3
TOR,57.3
CHH,56.10000000000001
HOU,54.900000000000006
OKC,53.7
ORL,52.400000000000006
IND,50.0
DEN,48.8
BOS,43.9
DET,39.0
LAC,37.8
CLE,36.6
BKN,31.7
ATL,30.5
MEM,28.000000000000004
WAS,23.200000000000003
GSW,20.7
CHI,18.3
LAL,81.69999999999999
POR,72.0
IND,68.30000000000001
UTA,67.10000000000001
PHX,64.60000000000001
SAS,64.60000000000001
MIA,63.4
MIN,61.0
NYK,61.0
CHH,59.8
PHI,59.8
OKC,54.900000000000006
TOR,54.900000000000006
SAC,53.7
DET,51.2
MIL,51.2
ORL,50.0
DAL,48.8
BOS,42.7
DEN,42.7
HOU,41.5
CLE,39.0
BKN,37.8
WAS,35.4
ATL,34.1
MEM,26.8
GSW,23.200000000000003
CHI,20.7
LAC,18.3
SAS,74.0
UTA,74.0
POR,70.0
IND,66.0
MIA,66.0
ORL,66.0
ATL,62.0
HOU,62.0
LAL,62.0
DET,57.99999999999999
MIL,56.00000000000001
PHI,56.00000000000001
NYK,54.0
PHX,54.0
SAC,54.0
CHH,52.0
MIN,50.0
OKC,50.0
TOR,46.0
CLE,44.0
GSW,42.0
BOS,38.0
DAL,38.0
WAS,36.0
BKN,32.0
DEN,28.000000000000004
CHI,26.0
LAC,18.0
MEM,16.0
CHI,75.6
UTA,75.6
LAL,74.4
OKC,74.4
IND,70.7
PHX,68.30000000000001
SAS,68.30000000000001
MIA,67.10000000000001
CHH,62.2
ATL,61.0
CLE,57.3
POR,56.10000000000001
MIN,54.900000000000006
BKN,52.400000000000006
NYK,52.400000000000006
WAS,51.2
HOU,50.0
ORL,50.0
DET,45.1
BOS,43.9
MIL,43.9
PHI,37.8
SAC,32.9
DAL,24.4
GSW,23.200000000000003
MEM,23.200000000000003
LAC,20.7
TOR,19.5
DEN,13.4
CHI,84.1
UTA,78.0
MIA,74.4
HOU,69.5
NYK,69.5
OKC,69.5
ATL,68.30000000000001
LAL,68.30000000000001
CHH,65.9
DET,65.9
POR,59.8
ORL,54.900000000000006
WAS,53.7
CLE,51.2
MIN,48.8
PHX,48.8
IND,47.6
LAC,43.9
SAC,41.5
MIL,40.2
GSW,36.6
TOR,36.6
BKN,31.7
DAL,29.3
PHI,26.8
DEN,25.6
SAS,24.4
BOS,18.3
MEM,17.1
